date,Medicine,Tablets,Pharmaceutical drugs,COVID-19 vaccine,Insurance plan,Vitamins online,Immune booster,Physician,Netcare,mediclinic
2019-09-25,27,79,0,0,0,0,0,0,63,63
2019-09-26,30,81,0,0,0,0,0,0,43,64
2019-09-27,25,71,0,0,0,0,0,0,45,69
2019-09-28,19,75,0,0,0,0,0,0,0,0
2019-09-29,30,88,0,0,0,0,0,0,49,25
2019-09-30,29,84,0,0,0,0,0,0,48,72
2019-10-01,28,87,0,0,0,0,0,0,55,61
2019-10-02,26,82,0,0,0,0,0,0,42,45
2019-10-03,29,84,0,0,0,0,0,0,42,65
2019-10-04,24,65,0,0,0,0,0,0,26,58
2019-10-05,27,73,0,0,0,0,0,0,23,35
2019-10-06,26,66,0,0,0,0,0,0,0,28
2019-10-07,28,83,0,0,0,0,0,0,60,52
2019-10-08,24,85,0,0,0,0,0,0,51,70
2019-10-09,30,80,0,0,0,0,0,21,51,73
2019-10-10,31,84,0,0,0,0,0,0,45,87
2019-10-11,26,81,0,0,0,0,0,0,41,73
2019-10-12,20,79,0,0,0,0,0,0,27,25
2019-10-13,24,67,0,0,0,0,0,0,35,40
2019-10-14,30,88,0,0,0,0,0,0,56,58
2019-10-15,31,87,0,0,0,0,0,0,61,82
2019-10-16,25,79,0,0,0,0,0,0,47,81
2019-10-17,26,85,0,0,0,0,0,0,46,72
2019-10-18,26,76,0,0,0,0,0,0,49,61
2019-10-19,25,73,0,0,0,0,0,0,0,31
2019-10-20,23,70,0,0,0,0,0,0,25,0
2019-10-21,30,69,0,0,0,0,0,0,52,71
2019-10-22,26,88,0,0,0,0,0,0,50,77
2019-10-23,27,76,0,0,0,0,0,0,62,71
2019-10-24,28,76,0,0,0,0,0,0,72,51
2019-10-25,28,80,0,0,0,0,0,0,43,62
2019-10-26,23,81,0,0,0,0,0,0,0,38
2019-10-27,16,59,0,0,0,0,0,0,28,44
2019-10-28,25,77,0,0,0,0,0,0,49,79
2019-10-29,22,87,0,0,0,0,0,0,57,65
2019-10-30,21,83,0,0,0,0,0,0,54,55
2019-10-31,31,72,0,0,0,0,0,0,43,76
2019-11-01,22,60,0,0,0,0,0,0,38,62
2019-11-02,16,53,0,0,0,0,0,0,18,24
2019-11-03,24,77,0,0,0,0,0,0,30,40
2019-11-04,25,77,0,0,0,0,0,0,42,73
2019-11-05,38,78,0,0,0,0,0,0,50,66
2019-11-06,22,70,0,0,0,0,0,0,45,63
2019-11-07,25,74,0,0,0,0,0,0,49,63
2019-11-08,25,79,0,0,0,0,0,0,57,49
2019-11-09,24,64,0,0,7,0,0,0,24,39
2019-11-10,27,79,0,0,0,0,0,0,38,38
2019-11-11,32,80,0,0,0,0,0,0,46,92
2019-11-12,30,84,0,0,0,0,0,0,60,58
2019-11-13,26,77,0,0,0,0,0,0,49,70
2019-11-14,18,77,0,0,0,0,0,0,50,57
2019-11-15,28,63,0,0,0,0,0,0,49,56
2019-11-16,23,67,0,0,0,0,0,0,26,38
2019-11-17,22,67,0,0,0,0,0,0,31,36
2019-11-18,25,83,0,0,0,0,0,0,62,60
2019-11-19,28,76,0,0,0,0,0,0,70,77
2019-11-20,17,77,0,0,0,0,0,15,64,76
2019-11-21,22,72,0,0,0,0,0,17,54,76
2019-11-22,26,71,0,0,0,0,0,0,48,45
2019-11-23,22,64,0,0,0,0,0,0,43,59
2019-11-24,9,62,0,0,0,0,0,0,30,33
2019-11-25,25,76,0,0,0,0,0,15,61,82
2019-11-26,27,73,0,0,0,0,0,0,55,65
2019-11-27,22,65,0,0,0,0,0,0,51,68
2019-11-28,22,69,0,0,0,0,0,0,52,57
2019-11-29,18,66,0,0,0,0,0,0,37,53
2019-11-30,19,55,0,0,0,0,0,0,0,34
2019-12-01,26,72,0,0,0,0,0,0,21,0
2019-12-02,21,73,0,0,0,0,0,18,45,72
2019-12-03,21,76,0,0,0,0,0,0,47,80
2019-12-04,14,70,0,0,0,0,0,0,43,66
2019-12-05,15,70,0,0,0,0,0,0,56,65
2019-12-06,24,78,0,0,0,0,0,22,38,51
2019-12-07,16,55,0,0,0,0,0,0,0,28
2019-12-08,17,68,0,0,0,0,0,0,26,33
2019-12-09,28,64,0,0,0,0,0,0,46,64
2019-12-10,25,69,0,0,0,0,0,0,52,58
2019-12-11,22,76,0,0,0,0,0,0,60,66
2019-12-12,23,76,0,0,0,0,0,0,64,65
2019-12-13,18,72,0,0,0,0,0,0,48,53
2019-12-14,18,77,0,0,0,0,0,0,0,32
2019-12-15,20,78,0,0,0,0,0,0,30,26
2019-12-16,19,84,0,0,0,0,0,0,29,50
2019-12-17,27,82,0,0,0,0,0,0,50,74
2019-12-18,26,80,0,0,0,0,0,0,49,70
2019-12-19,23,85,11,0,0,0,0,0,40,55
2019-12-20,19,80,0,0,0,0,0,0,32,53
2019-12-21,19,71,0,0,0,0,0,0,30,0
2019-12-22,21,73,0,0,0,0,0,0,36,31
2019-12-23,20,79,0,0,0,0,0,0,39,70
2019-12-24,16,64,0,0,0,0,0,0,38,35
2019-12-25,19,59,0,0,0,0,0,0,0,34
2019-12-26,28,78,0,0,0,0,0,0,21,28
2019-12-27,19,91,0,0,0,0,0,0,31,56
2019-12-28,28,83,0,0,0,0,0,0,35,36
2019-12-29,27,84,0,0,0,0,0,0,34,33
2019-12-30,31,68,0,0,0,0,0,0,52,87
2019-12-31,24,70,0,0,0,0,0,0,31,46
2020-01-01,28,74,0,0,0,0,0,0,27,44
