date,mp3 download,YouTube,Tubidy download,Netflix,Goojara movies,Netnaija movies,Disney+,canvas prints,digital art
2021-03-14,76,51,10,20,0,21,56,0,0
2021-03-15,57,44,7,13,0,28,47,0,0
2021-03-16,60,45,8,11,0,20,48,0,0
2021-03-17,57,48,8,12,0,0,40,0,0
2021-03-18,64,53,9,13,0,26,51,0,0
2021-03-19,78,59,11,15,0,39,51,0,0
2021-03-20,86,56,15,21,0,48,63,0,0
2021-03-21,79,51,11,24,0,34,67,0,0
2021-03-22,77,53,11,21,0,38,61,0,0
2021-03-23,60,47,9,13,0,40,40,0,0
2021-03-24,65,45,10,13,0,24,44,0,0
2021-03-25,68,48,9,13,0,32,41,0,0
2021-03-26,83,53,15,14,0,31,54,0,0
2021-03-27,98,56,14,19,0,36,66,0,0
2021-03-28,74,50,11,20,0,31,49,0,0
2021-03-29,66,47,10,13,0,38,59,0,0
2021-03-30,68,48,11,11,0,35,50,0,0
2021-03-31,70,50,11,13,0,41,67,0,0
2021-04-01,91,59,12,16,1,36,64,0,0
2021-04-02,100,56,14,23,0,45,95,0,0
2021-04-03,99,55,14,20,0,0,93,0,0
2021-04-04,85,53,13,24,0,0,76,0,0
2021-04-05,80,50,10,21,0,26,80,0,0
2021-04-06,60,44,9,13,0,33,57,18,0
2021-04-07,63,47,8,14,0,21,62,18,0
2021-04-08,72,51,11,13,0,34,63,0,0
2021-04-09,89,56,13,17,0,37,67,0,0
2021-04-10,95,52,13,19,0,26,65,0,0
2021-04-11,82,50,11,20,1,30,70,0,0
2021-04-12,65,46,9,14,0,28,45,0,0
2021-04-13,66,51,9,13,0,21,47,0,0
2021-04-14,67,46,10,13,0,20,42,0,0
2021-04-15,66,47,10,12,0,33,58,0,0
2021-04-16,81,59,13,16,0,26,52,0,0
2021-04-17,80,64,13,20,0,0,73,0,0
2021-04-18,77,51,14,20,0,29,72,0,0
2021-04-19,63,50,10,13,1,24,51,0,0
2021-04-20,73,52,12,12,0,45,39,0,0
2021-04-21,68,48,13,13,0,31,46,0,0
2021-04-22,76,56,15,15,0,31,39,0,0
2021-04-23,89,58,17,19,0,38,52,0,0
2021-04-24,95,56,17,21,0,33,73,0,0
2021-04-25,89,54,16,23,0,44,71,0,0
2021-04-26,72,53,12,20,0,38,70,0,0
2021-04-27,87,52,12,19,0,32,51,0,0
2021-04-28,64,50,10,17,0,33,53,0,0
2021-04-29,69,50,11,17,1,28,63,0,0
2021-04-30,86,54,14,18,0,39,63,0,0
2021-05-01,94,54,14,22,1,39,69,0,0
2021-05-02,77,48,14,21,0,25,67,0,0
2021-05-03,74,46,11,14,0,33,43,0,0
2021-05-04,70,47,12,12,0,18,53,0,0
2021-05-05,69,49,13,13,0,41,48,0,0
2021-05-06,78,50,12,13,0,35,35,0,0
2021-05-07,92,58,14,18,0,37,62,0,0
2021-05-08,90,55,14,22,1,49,78,0,0
2021-05-09,86,51,13,21,0,51,62,0,0
2021-05-10,68,50,11,13,0,39,37,0,0
2021-05-11,67,48,9,12,0,18,34,0,0
2021-05-12,68,53,10,13,0,24,25,0,0
2021-05-13,69,54,10,13,0,52,50,0,0
2021-05-14,93,58,13,17,1,21,58,0,0
2021-05-15,90,58,13,23,0,44,84,0,0
2021-05-16,79,54,11,23,1,48,75,0,0
2021-05-17,66,53,11,14,1,36,49,0,0
2021-05-18,65,49,9,14,0,32,48,0,0
2021-05-19,68,52,10,14,0,46,45,0,0
2021-05-20,66,54,11,14,0,31,48,0,0
2021-05-21,90,59,12,19,1,37,73,0,0
2021-05-22,85,58,13,23,1,48,87,0,0
2021-05-23,71,52,10,20,1,47,49,0,0
2021-05-24,61,53,9,13,0,39,49,0,0
2021-05-25,67,50,9,14,0,46,42,0,0
2021-05-26,61,49,9,12,1,41,45,0,0
2021-05-27,70,49,11,14,1,37,45,0,0
2021-05-28,87,59,15,18,0,40,72,0,0
2021-05-29,92,59,16,23,1,23,59,0,0
2021-05-30,81,56,13,21,1,41,55,0,0
2021-05-31,69,50,12,15,1,50,46,0,0
2021-06-01,68,51,11,15,1,51,41,0,0
2021-06-02,67,47,11,15,0,52,44,0,0
2021-06-03,69,52,13,15,0,60,48,0,0
2021-06-04,79,59,15,20,1,65,58,0,0
2021-06-05,87,58,15,24,1,40,85,0,0
2021-06-06,82,54,15,23,1,63,66,0,0
2021-06-07,65,48,10,14,1,47,40,0,0
2021-06-08,65,51,10,13,1,53,41,0,0
2021-06-09,64,54,10,14,1,49,53,0,0
2021-06-10,67,53,12,16,1,58,65,0,0
2021-06-11,83,57,15,18,1,55,65,0,0
2021-06-12,95,58,17,22,1,44,80,0,0
2021-06-13,79,55,16,21,1,53,61,0,0
2021-06-14,67,50,12,14,1,57,63,0,0
2021-06-15,67,55,12,18,1,56,59,0,0
2021-06-16,80,53,13,21,1,54,54,0,0
2021-06-17,63,59,12,15,0,65,43,0,0
2021-06-18,78,58,15,20,1,63,58,0,0
2021-06-19,86,56,15,23,1,57,70,0,0
2021-06-20,79,55,14,23,1,66,69,0,0
2021-06-21,64,50,11,17,1,68,53,0,0
2021-06-22,64,54,13,16,1,55,57,0,0
2021-06-23,62,51,12,17,1,61,66,0,0
2021-06-24,73,54,13,17,1,58,66,0,0
2021-06-25,80,58,18,21,1,79,71,0,0
2021-06-26,86,58,16,24,1,82,68,0,0
2021-06-27,81,58,13,23,1,68,68,0,0
2021-06-28,62,51,10,20,1,80,55,0,0
2021-06-29,66,51,11,19,1,64,42,0,0
2021-06-30,75,57,12,20,1,72,73,0,0
2021-07-01,83,63,11,20,1,77,78,0,0
2021-07-02,76,56,12,21,1,67,52,0,0
2021-07-03,89,56,14,28,1,97,97,0,0
2021-07-04,83,56,13,29,1,100,62,0,0
