date,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks
2019-03-03,12,6,30,0,26,49,0,0,0,0
2019-03-04,21,5,62,0,47,80,0,0,0,4
2019-03-05,20,5,57,0,47,77,0,0,0,0
2019-03-06,18,4,46,0,42,71,0,0,0,0
2019-03-07,16,4,51,0,42,72,0,0,0,4
2019-03-08,17,4,48,0,41,59,0,0,0,0
2019-03-09,10,4,29,0,26,46,0,0,0,0
2019-03-10,9,3,23,0,22,40,0,0,0,0
2019-03-11,14,5,48,0,36,71,0,0,0,0
2019-03-12,16,5,45,0,38,72,0,0,0,4
2019-03-13,14,4,42,0,34,72,0,0,0,4
2019-03-14,15,4,47,0,37,60,0,0,0,7
2019-03-15,21,4,58,0,38,48,0,0,0,0
2019-03-16,12,5,33,0,28,51,0,0,0,0
2019-03-17,10,3,23,0,23,47,0,0,0,0
2019-03-18,17,5,46,0,44,60,0,0,0,0
2019-03-19,15,4,46,0,36,65,0,0,0,5
2019-03-20,18,4,49,0,44,61,0,0,0,0
2019-03-21,12,4,32,0,28,42,0,0,0,0
2019-03-22,19,5,49,1,43,53,0,0,0,0
2019-03-23,13,4,32,0,31,49,0,0,0,0
2019-03-24,10,3,24,0,24,45,0,0,0,0
2019-03-25,26,5,62,0,53,77,0,0,0,4
2019-03-26,22,6,60,0,50,78,0,0,0,0
2019-03-27,20,6,57,0,50,72,0,0,0,0
2019-03-28,21,6,60,0,54,75,0,0,0,0
2019-03-29,20,6,68,0,56,81,0,0,0,0
2019-03-30,16,6,41,0,59,56,0,0,0,0
2019-03-31,13,4,36,0,63,57,0,0,0,0
2019-04-01,20,6,70,0,59,89,0,0,0,6
2019-04-02,17,6,65,0,51,89,0,0,0,0
2019-04-03,15,5,53,0,46,84,0,0,0,5
2019-04-04,15,4,50,0,42,79,0,0,0,0
2019-04-05,15,4,48,0,43,70,0,0,0,0
2019-04-06,12,4,31,0,30,54,0,0,0,0
2019-04-07,10,3,27,0,22,47,0,0,0,0
2019-04-08,14,5,50,0,43,82,0,0,0,0
2019-04-09,15,6,49,0,41,78,0,0,0,0
2019-04-10,13,5,47,0,36,78,0,0,0,0
2019-04-11,12,4,47,0,35,76,0,0,0,0
2019-04-12,13,3,46,0,37,67,0,0,0,0
2019-04-13,9,4,30,0,28,50,0,0,0,6
2019-04-14,9,4,23,0,20,50,0,0,0,0
2019-04-15,20,5,49,0,41,74,0,0,0,4
2019-04-16,20,4,46,0,40,78,0,0,0,4
2019-04-17,23,4,47,0,41,77,0,0,0,0
2019-04-18,24,4,50,0,40,67,0,4,0,0
2019-04-19,13,4,27,0,26,44,0,0,0,0
2019-04-20,12,4,28,0,59,40,5,0,0,0
2019-04-21,9,3,24,0,32,46,0,0,0,6
2019-04-22,12,5,26,0,26,40,0,0,0,0
2019-04-23,15,4,46,0,42,66,0,0,0,0
2019-04-24,16,4,51,0,42,59,0,0,0,0
2019-04-25,18,6,61,0,54,74,0,0,0,5
2019-04-26,20,7,64,0,56,66,0,0,0,0
2019-04-27,18,5,39,0,35,44,0,0,0,0
2019-04-28,14,4,31,0,25,48,0,0,0,0
2019-04-29,28,5,63,0,51,83,0,0,0,6
2019-04-30,34,6,70,0,62,81,0,0,0,4
2019-05-01,20,7,41,0,39,60,0,0,0,0
2019-05-02,31,7,66,0,54,80,0,0,0,0
2019-05-03,28,5,64,0,53,76,0,0,0,6
2019-05-04,16,4,33,0,30,58,0,0,0,0
2019-05-05,14,4,42,0,21,52,0,0,0,0
2019-05-06,24,6,54,0,43,81,0,0,0,0
2019-05-07,25,4,47,0,40,69,0,0,0,5
2019-05-08,13,4,25,0,21,45,0,0,0,5
2019-05-09,21,4,43,0,35,69,0,0,0,0
2019-05-10,28,4,45,0,37,67,0,0,0,0
2019-05-11,18,4,27,0,27,45,0,0,0,0
2019-05-12,13,2,21,0,19,48,0,0,0,0
2019-05-13,30,5,46,0,36,75,0,0,0,0
2019-05-14,29,4,43,0,38,69,0,0,0,5
2019-05-15,33,5,48,0,41,70,0,0,0,6
2019-05-16,30,5,47,0,35,78,0,0,0,0
2019-05-17,31,4,46,0,43,71,0,0,0,0
2019-05-18,16,3,26,0,58,45,0,0,0,0
2019-05-19,15,3,26,0,30,51,0,0,0,0
2019-05-20,31,4,45,0,44,70,0,0,0,4
2019-05-21,28,5,44,0,43,73,0,0,0,0
2019-05-22,29,5,45,0,40,71,0,0,0,0
2019-05-23,30,4,45,0,40,64,0,0,0,0
2019-05-24,43,5,55,0,53,65,0,0,0,0
2019-05-25,27,5,37,0,35,46,0,0,0,0
2019-05-26,19,4,33,0,25,52,0,0,0,0
2019-05-27,34,5,62,0,51,84,0,0,0,5
2019-05-28,28,5,56,0,47,85,0,0,0,0
2019-05-29,28,5,53,0,45,81,0,0,0,5
2019-05-30,30,4,54,0,45,77,0,0,0,0
2019-05-31,38,6,84,0,58,79,0,0,0,4
2019-06-01,21,7,44,0,39,65,0,0,0,0
2019-06-02,15,5,33,0,27,58,0,0,0,0
2019-06-03,28,6,61,0,47,100,0,0,0,4
2019-06-04,25,5,66,0,43,82,0,0,0,0
2019-06-05,24,5,58,0,35,87,0,0,0,0
2019-06-06,21,5,51,0,40,81,0,0,0,5
2019-06-07,23,4,51,0,36,77,0,0,0,0
2019-06-08,13,4,33,0,26,64,0,0,0,0
2019-06-09,11,3,24,0,19,49,0,0,0,0
2019-06-10,17,5,49,0,35,83,0,0,0,0
2019-06-11,18,5,45,0,35,75,0,0,0,0
2019-06-12,18,4,43,0,34,82,0,0,0,0
2019-06-13,17,4,44,0,33,79,0,0,0,5
2019-06-14,22,6,51,0,39,70,0,0,0,0
2019-06-15,15,5,32,0,28,54,0,0,0,0
2019-06-16,9,3,24,0,18,43,0,0,0,0
2019-06-17,12,4,26,0,22,60,0,0,0,0
2019-06-18,21,6,48,0,36,85,0,0,0,0
2019-06-19,18,4,44,2,36,79,0,0,0,0
2019-06-20,19,5,50,1,38,82,0,0,0,0
2019-06-21,18,4,50,1,43,66,0,0,0,4
2019-06-22,13,5,31,0,27,44,0,0,0,0
2019-06-23,9,3,24,0,21,46,0,0,0,0
2019-06-24,19,4,51,0,42,75,0,0,0,4
2019-06-25,23,7,68,0,47,96,0,0,0,0
2019-06-26,21,6,59,0,47,90,0,0,0,4
2019-06-27,21,5,55,0,47,94,0,0,0,0
2019-06-28,25,4,66,0,50,90,0,0,0,0
2019-06-29,18,6,42,0,42,65,0,0,0,0
2019-06-30,15,5,36,2,31,49,0,0,0,0
